question,answer,topic
What is rapid eye movement sleep?,"A period of intense brain activity during sleep, often associated with dreams; named for the rapid eye movements that occur during this time. Also called dreaming sleep.",medicine
What is rate of perceived exertion?,"A subjective measure of how hard an individual feels they are working during exercise, often assessed using a numerical scale or other rating system.",medicine
What is receptors?,"Specialized cells or molecules that detect and respond to specific stimuli, such as light, sound, or chemicals, and transmit signals to the nervous system.",medicine
What is recessive?,A gene that will not be expressed in the offspring unless it is inherited from both the mother and father. A recessive gene from one parent that is paired with a dominant gene from the other parent will be overridden by the dominant gene.,medicine
What is recovery?,"A process of overcoming addiction to alcohol, other psychoactive substance, or addictive behavior. Often this involves a commitment to abstinence, but sometimes it involves reduced use rather than complete abstinence.",medicine
What is rectum?,The part of the large intestine which stores solid waste until it leaves the body through the anus.,medicine
What is rectus abdominis?,"A pair of muscles located on the front of the abdomen, commonly known as the ""six-pack"" muscles, responsible for flexing the trunk and compressing the abdomen.",medicine
What is regional anaesthetic?,This is anaesthetic given to numb part of your body for an operation and is an alternative to a general anaesthetic (where you are asleep for your operation). There are different types of regional anaesthetic including spinal anaesthetic and epidural anaesthetic. These are commonly used for caesarean births.,medicine
What is regurgitation?,Leakage of blood back into a heart chamber that occurs when a heart valve doesn't close properly,medicine
What is rejection?,A reaction that occurs when a person’s immune system recognizes a transplanted organ as a threatening substance and tries to rid the body of it.,medicine
What is relapse?,The return of symptoms and disease after a person seems to have recovered.,medicine
What is remission?,"A lessening in the severity of a disease and its symptoms. In cancer, a reduction in the size of a tumor and its symptoms.",medicine
What is renal?,Pertaining to the kidneys.,medicine
What is repetition?,The number of times an exercise is repeated within a single exercise “set.”,medicine
What is resistance training?,See “Strength training”,medicine
What is respiration?,"The process by which gases enter the body, including external respiration (breathing), and internal respiration, in which oxygen taken in by the lungs is carried by the blood to tissues and carbon dioxide is removed.",medicine
What is respiratory system?,"The organ system that includes the lungs, trachea, bronchi, and other structures involved in breathing, responsible for exchanging gases between the body and the environment.",medicine
What is resting hr?,Rate at which your heart beats at rest (while sitting or being inactive). Low resting heart rates are a good measure of health and fitness.,medicine
What is resting metabolic rate?,"The amount of energy expended by the body at rest, often measured in calories per day.",medicine
What is resuscitation?,The process of reviving a person who is not breathing or whose heart is not beating using techniques such as artificial respiration and heart massage.,medicine
What is retina?,"The innermost layer of the eye, which converts light energy to electrical energy and sends visual images to the brain via the optic nerve.",medicine
What is rheumatoid arthritis?,"An inflammatory autoimmune disease that typically attacks the connective tissue of the joints, causing them to become painful, inflamed, and sometimes deformed.",medicine
What is rheumatologist?,A medical doctor trained to diagnose and treat disorders involving inflammation of the joints and other parts of the musculoskeletal system.,medicine
What is ribs?,"The curved bones that form the ribcage, responsible for protecting the heart, lungs, and other organs.",medicine
What is right atrium?,The right upper chamber of the heart; it receives partially deoxygenated blood as it returns from the body's tissues and moves it into the right ventricle for distribution to the lungs.,medicine
What is right coronary artery?,One of the principal coronary arteries that supplies blood to the heart; this vessel supplies the right and lower part of the heart.,medicine
What is right ventricle?,The right lower chamber of the heart; it receives blood from the right atrium for distribution to the lungs.,medicine
What is ringworm?,An itchy condition of the scalp caused by a fungal infection. Also known as tinea capitis.,medicine
What is root canal?,A channel in the root of the tooth that contains the pulp.,medicine
What is rotator cuff?,A group of tendons and muscles used to raise the arm from the side and rotating the shoulder.,medicine
What is rupture?,A tear or break in an organ or tissue. Tissue that protrudes through the rupture is known as a hernia.,medicine
What is sagittal plane?,"A vertical plane that divides the body into left and right halves, used in anatomical and biomechanical analysis.",medicine
What is saline?,A watery solution that contains a small amount of salt and is often used to administer drugs or as a substitute for plasma.,medicine
What is salivary gland?,One of three pairs of glands that pour lubricating fluids and digestive enzymes into the mouth.,medicine
What is sanitary pad?,A disposable pad of absorbent material used to collect blood during menstruation and after childbirth.,medicine
What is saturated fat?,"A type of fat found in animal foods such as meat, poultry skin, butter, and whole-milk dairy products, as well in as palm and coconut oils. A diet high in saturated fat tends to raise blood levels of unhealthy low-density lipoprotein (LDL) cholesterol.",medicine
What is scapula?,"The shoulder blade, a flat triangular bone located on the upper back, responsible for attaching the arm bone to the clavicle.",medicine
What is sciatic nerve?,"The largest nerve in the body, running from the lower back down through the legs, responsible for providing sensation to the skin and muscles of the lower body.",medicine
What is sciatica?,"Pain along the course of the sciatic nerve (which runs from the buttock, down the back and side of the leg, and into the foot and toes), often because of a herniated disk.",medicine
What is scoliosis?,"An abnormal lateral, or sideways, curvature of the spine.",medicine
What is screening?,"A test or set of tests to check for a condition in a person who shows no symptoms, but who may be at risk (perhaps because of their age or sexual behaviour, for example).",medicine
What is scurvy?,"A disease caused by vitamin C deficiency, characterized by bruising, poor wound healing, bleeding of the gums, and loosened teeth.",medicine
What is seasonal affective disorder?,Sadness and depression brought on by a lack of exposure to sunlight. Seasonal affective disorder usually appears in the fall or winter and subsides in the spring. sometimes referred to as SAD.,medicine
What is secretion?,The release of chemical substances produced by the body; or the substance that is produced.,medicine
What is sedative?,A drug or a procedure that has a calming effect and relieves anxiety and tension.,medicine
What is seizure?,"A sudden, involuntary contraction of muscles that results in rhythmic contortions of the body, often accompanied by a loss of consciousness. Also called a convulsion.",medicine
What is semen?,The fluid that contains sperm.,medicine
What is senescence?,"Gradual loss of body functions caused by the biological aging process, which increases risk of disease, disability, and death.",medicine
What is senile dementia?,Diagnosis once given to people over 65 with dementia.,medicine
What is sepsis?,"The destruction or infection of tissues by disease-causing organisms, usually accompanied by a fever.",medicine
What is septum?,"A wall or other structure that divides one cavity from another. For example, in the heart the muscular septum separates the right side of the heart from the left side.",medicine
What is serotonin?,"A neurotransmitter that helps regulate sleep and appetite, mediate moods, and inhibit pain.",medicine
What is sexual dysfunction?,A problem with any area of a person’s sexual response that causes distress.,medicine
What is shin splint?," Generic term used to describe pain in the lower leg, either on the medial (inside) or lateral side (outside) of the shin bone.",medicine
What is shock?,"A serious medical condition in which there too little blood flows to the outer portions of the body, resulting in cold, sweaty skin; a weak pulse; irregular breathing; and dilated pupils. Shock can be caused by a loss of blood, severe heart problems, severe infections, allergic reactions, or drug overdoses.",medicine
What is short-term memory?,"Information the brain stores temporarily, from milliseconds to minutes.",medicine
What is sickle cell disease?,"A genetic blood disorder that affects the shape and function of red blood cells, resulting in anemia, pain, and other complications.",medicine
What is side effect?,"An unwanted, and sometimes dangerous, reaction caused by medication or other treatment.",medicine
What is sinus?,"A hollow space or cavity within a bone or other tissue, such as the nasal sinuses or the maxillary sinus.",medicine
What is sit and reach test?,A common fitness test that determines flexibility (of the hamstrings and lower back).,medicine
What is skeletal muscle?,"The type of muscle tissue that is attached to bones and responsible for voluntary movement, posture, and support.",medicine
What is skeletal system?,"The organ system that includes all the bones and joints of the body, responsible for support, protection, and movement.",medicine
What is skinfold caliper test?,A method of determining body fat whereby folds of skin and fat at various points on the body are grasped between thumb and forefinger and measured with calipers.,medicine
What is skull?,"The bony structure of the head, consisting of the cranium and facial bones, responsible for protecting the brain and other vital organs.",medicine
What is sleep apnea?,"Temporary pause in breathing during sleep, lasting at least 10 seconds and associated with a fall in blood oxygen or arousal from sleep. Obstructive sleep apnea is caused by an obstruction in the airway blocking air flow; central sleep apnea occurs when the brain temporarily stops sending signals to the muscles that control breathing.",medicine
What is sleep paralysis?,A feeling of paralysis that may occur during the transition between wakefulness and sleep if the REM sleep stage begins before a person is fully asleep; classically associated with narcolepsy.,medicine
What is slipped disk?,See herniated disk.,medicine
What is slipped vertebrae?,"A condition in which a vertebra in the spine shifts out of its normal position, often causing pain, nerve compression, or other symptoms.",medicine
What is slow-twitch fiber?,One of two main types of skeletal muscle fibers. Slow-twitch fibers are recruited most heavily for endurance (aerobic) exercises. See also fast-twitch fiber.,medicine
What is small intestine?,"A section of the digestive system that includes the duodenum, jejunum, and ileum and plays the major role in absorbing nutrients for the body.",medicine
What is soft palate?,"The muscular portion of the roof of the mouth, responsible for separating the oral and nasal cavities during swallowing and speech.",medicine
What is somnambulism?,Sleepwalking.,medicine
What is somniloquy?,Talking in one’s sleep.,medicine
What is sonography?,"The use of high-frequency sound waves to create images of internal structures, often used for diagnostic purposes in medicine.",medicine
What is spasm?,An involuntary muscle contraction.,medicine
What is speculum?,A plastic or metal instrument used to separate the walls of the vagina to show or reach the cervix.,medicine
What is sperm?,The male reproductive cell which fertilises a woman’s eggs. Men usually have millions of sperm in their semen.,medicine
What is spermicide?,"A chemical agent that is used to kill or immobilize sperm, often used as a form of birth control.",medicine
What is sphincter?,"A ring of muscle that surrounds an opening and can be contracted to close the opening. For example, the muscles found at the anus and the opening of the bladder are sphincters.",medicine
What is spina bifida?,A condition which affects the unborn baby in the early stages of pregnancy. Spina bifida causes damage to the spinal cord and nerves.,medicine
What is spinal anaesthetic?,"A type of anesthesia that is administered into the spinal canal, numbing the lower body and allowing for surgical procedures or pain relief.",medicine
What is spinal cord?,"The bundle of nerves that runs from the brain down through the vertebral column, responsible for transmitting sensory and motor signals between the body and the brain.",medicine
What is spinal fusion?,A procedure to attach two or more vertebrae with a bone graft in order to eliminate motion and relieve pain.,medicine
What is spinal tap?,Use of a hollow needle to withdraw fluid from the lower part of the spinal canal for testing. Also called a lumbar puncture.,medicine
What is spleen?,"An organ located in the upper left part of the abdomen, responsible for filtering blood and removing old or damaged red blood cells.",medicine
What is sprain?,A stretched or torn ligament.,medicine
What is staging?,The process of determining how far cancer has progressed. Staging is often used to determine the best course of treatment.,medicine
What is static stretching?," A low force, high",medicine
What is statins?,Cholesterol-lowering medications that interfere with the enzyme 3-hydroxy-3-methylglutaryl-coenzyme A reductase; also known as HMG-CoA reductase inhibitors. Statins work by changing the way the liver processes lipids.,medicine
What is sterilisation?,Permanent contraception for women (see tubal occlusion) and men (see vasectomy).,medicine
What is sternum?,"The breastbone, located in the center of the chest, responsible for attaching the ribs and protecting the heart and lungs.",medicine
What is steroids?,Another term for corticosteroids—steroid medications made to mimic hormones produced naturally by the adrenal glands. They are used to treat a wide range of health problems.,medicine
What is sti?,"Sexually transmitted infection, a disease that is spread through sexual contact with an infected person, often causing symptoms such as genital discharge, sores, or itching.",medicine
What is still birth?,"The delivery of a baby that has died in the womb, typically occurring after the 20th week of pregnancy.",medicine
What is stimulant?,A substance that speeds up chemical reactions inside cells and provides a boost of energy. Examples include caffeine and amphetamine.,medicine
What is stomach?,The sac-like organ of the digestive system between the esophagus and the duodenum which breaks down food and moves it along to the small intestine to be digested.,medicine
What is stool?,"Solid waste matter that is excreted from the digestive system through the anus, consisting of undigested food, bacteria, and other waste products.",medicine
What is strain?,"A stretched or torn muscle or tendon, usually caused by accident, misuse, or overuse.",medicine
What is strength training?,"Popular term for exercises that harness resistance supplied by body weight, free weights such as dumbbells or weighted cuffs, resistance bands, or specialized machines; also known as resistance training or weight training.",medicine
What is stress?,"An innate survival response in which certain hormones are released, increasing blood flow to the brain or heart. The stress response leads to an energy surge, enabling a person to flee dangerous situations. Ongoing stress, however, can sap energy and damage health.",medicine
What is stress fracture?,"A hairline crack in a bone that usually occurs from overuse; left untreated, this may lead to displacement of the bones.",medicine
What is stress response?,"Physiological changes, such as quickened breathing and heartbeat and increased blood pressure, brought on by stress hormones released in response to a real or perceived threat to safety. Also called the fight-or-flight response.",medicine
What is stroke?,Blockage or rupture of a blood vessel supplying the brain; often leads to impaired brain function or death.,medicine
What is stupor?,A state of lethargy and unresponsiveness.,medicine
What is subacute?,A disease or condition that progresses slower than an acute condition but faster than a chronic condition.,medicine
What is subcutaneous fat?,"The layer of fat that is located beneath the skin, responsible for insulation, protection, and energy storage.",medicine
What is sucrose?,"A type of sugar that is composed of glucose and fructose, commonly known as table sugar.",medicine
What is supination?,"A movement of the foot or hand that involves turning the palm or sole upward, away from the body.",medicine
What is suture?,The process of sewing tissues together after surgery; or the stitch itself.,medicine
What is sympathetic nervous system?,An offshoot of the autonomic nervous system; it sends signals to prepare the body for action when stress hormones are released in response to perceived or real dangers.,medicine
What is symptom?,"A specific medical sign of a condition, illness or disease.",medicine
What is synapse?,"The junction between two neurons, across which chemical neurotransmitters carry messages.",medicine
What is syndrome?,A collection of different signs and symptoms that are all part of the same underlying medical condition.,medicine
What is synovial fluid?,A thick liquid that lubricates the joints and tendons.,medicine
What is synovial joint?,"The most mobile type of joint; found in the shoulders, wrists, fingers, hips, etc.",medicine
What is synovium?,A thin membrane that lines joint capsules and produces synovial fluid.,medicine
What is systemic?,Pertaining to something that affects the whole body rather than separate organs or parts.,medicine
What is t cell?,"A type of white blood cell that is involved in the immune response, responsible for recognizing and attacking foreign invaders such as viruses or cancer cells.",medicine
What is talk test?,Method to ensure you are working out at a level where you can answer a question but not comfortably carry on a conversation. This is a good intensity level for weight loss and improved physical fitness.,medicine
What is tampon?,A tube of absorbent material that fits into the vagina to absorb the menstrual blood.,medicine
What is target heart rate?,"The desired heart rate range during exercise, often calculated based on age, fitness level, and other factors.",medicine
What is tartar?,A hardened layer of plaque that builds up on teeth. Also called calculus.,medicine
What is temporal lobe?,"One of the four major subdivisions of the two hemispheres of the brain’s cerebral cortex. The temporal lobe plays a role in hearing, long-term memory, and behavior.",medicine
What is tendon?,A cord of collagen fibers that connect a muscle to a bone.,medicine
What is tendonitis?,"Alternative spelling of tendinitis—inflammation of a tendon, usually caused by injury; may cause pain and restrict movement of the muscle attached to the tendon.",medicine
What is tension headache?,"A headache, usually mild or moderate in intensity, not accompanied by other symptoms; pain is usually felt throughout the head, across the forehead, or in the back of the head. Also known as a muscle-contraction headache.",medicine
What is tension principle?," This principle says that tension is created by resistance, which can come from weights, bands, machines, or body weight. ",medicine
What is testosterone?,"A male hormone that stimulates bone and muscle growth and sexual development in men; also produced in lesser amounts in women, promoting sex drive and muscle growth.",medicine
What is thalamus?,A brain structure that relays sensory information to other parts of the brain; also plays a role in memory consolidation.,medicine
What is thoracic?,Pertaining to the chest.,medicine
What is thoracic spine?,"The portion of the vertebral column that is located in the upper back, consisting of 12 vertebrae that attach to the ribs.",medicine
What is thyroid gland?,A two-lobed gland located in the front of the neck below the larynx (voice box). It secretes hormones that help regulate the body's metabolism and calcium balance.,medicine
What is thyroid hormone?,Two iodine-containing hormones called thyroxine (T4) and triiodothyronine (T3). They help regulate the body's metabolism and calcium balance.,medicine
What is thyroxine?,One of two types of major thyroid hormone manufactured by the thyroid gland. It contains four iodine atoms. Also known as T4.,medicine
What is tibia?,"The large bone of the calf, or shinbone.",medicine
What is tinnitus?,A ringing in the ears or some other sound that has no external cause.,medicine
What is tissue?,"A group of cells that are specialized to do a certain job and are joined together to form a body structure, such as muscle or kidney.",medicine
What is tolerance?,"The process through which the body becomes less responsive to a psychoactive substance or rewarding behavior. Over time, people who develop tolerance need larger doses to get the same effect they first got with smaller doses.",medicine
What is tonsilitis?,"Inflammation of the tonsils, often caused by a viral or bacterial infection, and characterized by sore throat, difficulty swallowing, and other symptoms.",medicine
What is tonsils?,"Two small masses of lymphoid tissue located at the back of the throat, responsible for filtering out bacteria and other foreign invaders.",medicine
What is tooth decay?,Infectious disease that attacks the teeth. Also called dental caries.,medicine
What is topical?,"Pertaining to an external surface of the body, such as the skin, mouth, vagina, or anus; often used to describe the administration of medicine that is applied directly to such a surface.",medicine
What is toxic?,Pertaining to something that is poisonous.,medicine
What is toxin?,"A poison, usually one produced by a living organism.",medicine
What is trachea?,"The tube-shaped structure that connects the throat to the lungs, responsible for carrying air to and from the respiratory system.",medicine
What is transfusion?,"The process of taking blood from a healthy person and infusing it into a person whose own blood has been depleted during surgery or an accident, or is for some reason not functioning correctly. Transfusions of whole blood or of specific blood cells (such as red cells, white cells, or platelets) are possible.",medicine
What is transplantation?,The process of removing an organ or other donated body part from one person and implanting it in another person.,medicine
What is transverse plane?,"A horizontal plane that divides the body into upper and lower portions, used in anatomical and biomechanical analysis.",medicine
What is trapezius?,"A large muscle located in the upper back and neck, responsible for stabilizing and moving the scapula and shoulder.",medicine
What is tremor?,"A rhythmic, quivering movement of muscles that can be caused by diseases such as Parkinson disease, side effects of medication, or old age.",medicine
What is tumor?,"Any type of swelling or enlargement of tissues; most often used to describe an abnormal growth of tissue, which can be cancerous or noncancerous.",medicine
What is two for two rule?,"The 2-for-2 Rule suggests that if you can perform 2 extra repetitions on 2 sets with perfect form, then you should increase the resistance.",medicine
What is type 1 diabetes?,"A type of diabetes, a chronic condition that affects the way the body's tissues use sugar (glucose), their main source of fuel. Once called juvenile-onset diabetes and insulin-dependent diabetes. People with this form of diabetes don't make enough insulin, a hormone that controls the movement of glucose into cells. They must rely on insulin injections.",medicine
What is type 2 diabetes?,"A type of diabetes, a chronic condition that affects the way the body's tissues use sugar (glucose), their main source of fuel. Once called adult -onset diabetes and non-insulin-dependent diabetes. People with this form of the disease have tissues that either resist the effects of insulin (a hormone that control the movement of sugar into cells) or the body doesn't produce enough insulin. It is initially treated with diet, exercise, weight-loss if needed, and oral medications.",medicine
What is type i muscle fibres?,"Slow-twitch muscle fibers that are adapted for endurance and low-intensity activities, characterized by high resistance to fatigue and a reliance on oxidative metabolism.",medicine
What is type iia muscle fibres?,"Fast-twitch muscle fibers that are adapted for power and speed, characterized by high force production and a reliance on anaerobic metabolism.",medicine
What is type iib muscle fibres?,"The fastest-twitch muscle fibers, adapted for short bursts of intense activity, characterized by extremely high force production and a reliance on anaerobic metabolism.",medicine
What is ulcer?,"A break in the skin or other surface that often occurs along with inflammation, infection, or cancerous growth.",medicine
What is ulna?,"The longer of the two bones in the forearm, located on the pinky side, responsible for supporting the wrist and providing attachment for muscles.",medicine
What is ulnar nerve?,"A nerve that runs from the elbow to the hand, responsible for providing sensation to the little finger and part of the ring finger, and controlling certain hand movements.",medicine
What is ultrasound?,"High-frequency sound waves used to provide images of the body, tissues and internal organs.",medicine
What is umbilical cord?,"The flexible cord that connects the fetus to the placenta in the womb, responsible for carrying oxygen, nutrients, and waste products between the mother and baby.",medicine
What is unconscious?,"A state of reduced awareness or responsiveness, often induced by injury, illness, anesthesia, or other factors.",medicine
What is unsaturated fat?,"Healthy dietary fats from plant sources such as vegetable oils, nuts, and whole grains, as well as from fatty fish. Includes monounsaturated fat and polyunsaturated fat.",medicine
What is ureter?,The tube that connects each kidney to the bladder.,medicine
What is urethra?,The tube leading from the bladder through which urine is carried from the body.,medicine
What is urinary system?,"The organ system that includes the kidneys, ureters, bladder, and urethra, responsible for filtering waste products from the blood and excreting them as urine.",medicine
What is urinary tract?,"Part of the body that produces and excretes urine. It consists of the kidneys, ureters, bladder, and urethra.",medicine
What is urine?,Excreted fluids containing waste products of the body.,medicine
What is urologist?,A specialist who deals with the urinary tract and male reproductive system.,medicine
What is uterus?,"The muscular organ located in the female pelvis, responsible for housing and nourishing a developing fetus during pregnancy.",medicine
What is uvula?,"A small, fleshy flap of tissue that hangs from the back of the throat over the root of the tongue.",medicine
What is vaccination?,A method of protecting the body against disease by injecting parts or all of a microorganism that will cause the body to develop antibodies against the microorganism and later fight off disease.,medicine
What is vacuum erection device?,"A medical device that uses suction to create an erection in men with erectile dysfunction, often used as an alternative to medication or surgery.",medicine
What is vagina?,The canal leading from the vulva to the cervix.,medicine
What is vaginal discharge?,Any vaginal secretion except menstrual bleeding.,medicine
What is valves?,Structures consisting of leaflets that divide the chambers of the heart and prevent the backflow of blood from one chamber to another during contraction of the heart.,medicine
What is variable resistance?,Strength training exercises that change the amount of resistance throughout the full range of motion.,medicine
What is vas deferens?,The tube which carries sperm from the testicles to the penis.,medicine
What is vascular?,Having to do with blood vessels and circulation.,medicine
What is vascular surgery?,An operation to improve blood flow either by repairing leaks in blood vessels or by rerouting arteries to bypass blockages.,medicine
What is vasculitis?,Inflammation of blood vessels.,medicine
What is vasectomy?,"A permanent method of contraception for men. It blocks, seals or cuts the tube (the vas deferens) which carries sperm from the testicles to the penis. Also known as sterilisation.",medicine
What is vasectomy?,An operation that ties off or cuts the tubes through which sperm travel from the testicles to the urethra; used as a form of birth control.,medicine
What is vector?,An animal or insect that transmits an infectious disease from a reservoir to a susceptible host.,medicine
What is vein?,A blood vessel that takes blood towards the heart.,medicine
What is vein?,A vessel that carries blood back to the heart.,medicine
What is veins?,"Blood vessels that carry blood from the capillaries back to the heart, characterized by thin walls and one-way valves that prevent backflow.",medicine
What is vena cava?,"The largest veins in the body, responsible for returning deoxygenated blood to the heart, consisting of the superior vena cava and the inferior vena cava.",medicine
What is venous?,Pertaining to a vein.,medicine
What is ventilator?,Machine that inflates the lungs with oxygen.,medicine
What is ventricle?,One of the two lower chambers of the heart. The right ventricle pumps blood to the lungs; the left ventricle pumps blood to the rest of the body.,medicine
What is ventricular arrhythmia?,Abnormal heart rhythm that starts in the lower chambers of the heart; this rhythm disturbance can occur as a complication of a heart attack and impairs the heart's pumping ability.,medicine
What is vertebra?,One of the cylindrical bones that form the spine (plural,medicine
What is vertebral artery?,One of two blood vessels that run up the back of the neck and join at the base of the skull to form the basilar artery. The vertebral arteries carry blood from the heart to the brain.,medicine
What is vertigo?,Dizziness; often a spinning sensation or a feeling that the ground is tilting.,medicine
What is vestibular system?,"The balance organs, located in the labyrinth in the inner ear.",medicine
What is vigorous intensity?," Activities above 60% of max heart rate. These activities cause an increased rate of breathing, sweating, and feel somewhat",medicine
What is viral?,Pertaining to or caused by a virus.,medicine
What is virulent?,A disease or condition that is highly infectious or dangerous or rapidly progressing.,medicine
What is virus?,"A micro-organism which invades living cells in order to grow or reproduce. Viruses cause many infections, from the common cold, chickenpox and measles to HIV.",medicine
What is visceral fat?,"Fat that lies beneath the abdominal wall, in the spaces surrounding the liver, intestines, and other organs. Sometimes called belly fat or abdominal adiposity.",medicine
What is visceral muscle?,"Smooth muscle tissue that is found in the walls of internal organs, responsible for involuntary contractions and movements.",medicine
What is visual cortex?,The part of the occipital lobe in the brain that processes visual stimuli.,medicine
What is vital signs?,"Measurements that indicate how well the body is functioning, including pulse rate, respiration (breathing rate), temperature, and blood pressure.",medicine
What is vitamin a?,"A fat-soluble vitamin that is important for vision, immune function, and cell growth and differentiation, found in animal-based foods such as liver, eggs, and dairy products.",medicine
What is vitamin b12?,"A water-soluble vitamin that is important for nerve function, red blood cell production, and DNA synthesis, found primarily in animal-based foods such as meat, fish, and dairy products.",medicine
What is vitamin c?,"A water-soluble vitamin that is important for collagen synthesis, antioxidant protection, and immune function, found in many fruits and vegetables.",medicine
What is vitamin d?,"A fat-soluble vitamin that is important for bone health, immune function, and calcium absorption, synthesized in the skin in response to sunlight exposure and found in some foods such as fatty fish and fortified dairy products.",medicine
What is vitamn b?,"A group of water-soluble vitamins that are important for energy production, brain function, and cell metabolism, found in many foods such as meat, fish, whole grains, and leafy green vegetables.",medicine
What is vo2 max?,"The maximal oxygen uptake or consumption by the body during exercise, often used as a measure of cardiovascular fitness.",medicine
What is vulva?,The area surrounding the opening of the vagina. It includes the inner and outer vaginal lips (the labia) and the clitoris.,medicine
What is waist to hip ratio?,A calculation of the proportion of fat stored on your body around your waist and hips. Formula: waist measurement divided by hip measurement. Women should have a ratio of 0.8 or less; men should have a ratio of .95 or less.,medicine
What is warm up?," To prepare for an athletic event (whether a game or a workout session) by exercising, stretching, or practicing for a short time beforehand.",medicine
What is wart?,An abnormal fibrous growth caused by a viral infection.,medicine
What is whiplash?,"The popular term for muscle and ligament damage resulting from rapid and extreme extension and flexion of the neck. The term is also used for the accident causing the injury, most often a rear-end motor vehicle accident.",medicine
What is white blood cell?,"A type of blood cell that is involved in the immune response, responsible for identifying and attacking foreign invaders such as bacteria, viruses, or cancer cells.",medicine
What is x ray?,"A type of imaging technology that uses electromagnetic radiation to create images of internal structures, often used for diagnostic purposes in medicine.",medicine
What is an alias?,"A short, easy to remember name created for use in place of a longer, more complicated name; commonly used in e-mail applications. Also referred to as a ""nickname"".",information technology
What is an application?,"A program designed for a specific purpose, such as word processing or graphic design.",information technology
What is authentication?,The process of identifying yourself and the verification that you're who you say you are. Computers where restricted information is stored may require you to enter your username and password to gain access.,information technology
What is bandwidth?,"A measurement of the amount of data that can be transmitted over a network at any given time. The higher the network's bandwidth, the greater the volume of data that can be transmitted.",information technology
What is a bit?,A binary digit (either 0 or 1); it is the most basic unit of data that can be recognized and processed by a computer.,information technology
What is bluetooth?,A wireless networking technology that allows users to send voice and data from one electronic device to another via radio waves.,information technology
What is a bounce?,A term applied to an e-mail message when it is returned to you as undeliverable.,information technology
What is a broadband connection?,"A high-speed Internet connection; at present, cable modems and DSL (Digital Subscriber Lines) are the two technologies that are most commonly available to provide such access.",information technology
What is a browser?,"A program used to access World Wide Web pages. Examples: Firefox, Safari or Internet Explorer.",information technology
What is a byte?,"A group of adjacent binary digits that a computer processes as a unit to form a character such as the letter ""C"". A byte consists of eight bits.",information technology
What is a cache?,"Refers to: 1) a region of computer memory where frequently accessed data can be stored for rapid access; or 2) a optional file on your hard drive where such data also can be stored. Examples: Internet Explorer and Firefox have options for defining both memory and disk cache. The act of storing data for fast retrieval is called ""caching"".",information technology
What is a captcha?,A challenge-response test in the form of an image of distorted text the user must enter that to determine whether the user is human or an automated bot.,information technology
What is a client?,A program or computer that connects to and requests information from a server.,information technology
What is cloud computing?,"The on-demand availability of computer system resources, especially data storage and computing power, without direct active management by the user.",information technology
What is compression?,The process of making a file smaller so that it will save disk space and transfer faster over a network. The most common compression utilities are Winrar for PC or compatible computers (.zip files) and or Stuffit (.sit files) for Macintosh computers.,information technology
What is a cookie?,"A small piece of information you may be asked to accept when connecting to certain servers via a web browser. It is used throughout your session as a means of identifying you. A cookie is specific to, and sent only to the server that generated it.",information technology
What is a CPU (Central Processing Unit)?,the part of a computer that oversees all operations and calculations.,information technology
What is CSS (Cascading Style Sheet)?,"A set of rules that define how web pages are displayed using CSS, designers can create rules that define how a page looks.",information technology
What is a daemon?,"A special small program that performs a specific task; it may run all the time watching a system, or it can take action only when a task needs to be performed. Example: If an e-mail message is returned to you as undeliverable, you may receive a message from the mailer daemon.",information technology
What is a database?,"A collection of information organized so that a computer application can quickly access selected information; it can be thought of as an electronic filing system. Traditional databases are organized by fields, records (a complete set of fields), and files (a collection of records). Alternatively, in a Hypertext database, any object (e.g., text, a picture, or a film) can be linked to any other object.",information technology
What is a data centre?,"A facility used to house computer systems and associated components, such as telecommunications and storage systems. It generally includes redundant or backup power supplies, redundant data communications connections, environmental controls (e.g., air conditioning, fire suppression) and security devices.",information technology
What is decompression?,The process of restoring the file to its original size and format.,information technology
What is a directory?,"An area on a disk that contains files or additional divisions called ""subdirectories"" or ""folders"". Using directories helps to keep files organized into separate categories, such as by application, type, or usage.",information technology
What is DNS (Domain Name System)?,"A service for accessing a networked computer by hostname rather than by numerical, (IP) address.",information technology
What is a domain?,"Part of an Internet address. The network hierarchy consists of domains and subdomains. At the top are a number of major categories (e.g., com, edu, gov); next are domains within these categories (e.g., ohio-state); and then there are subdomains. The computer name is at the lowest level of the hierarchy.",information technology
What is encryption?,The manipulation of data to prevent accurate interpretation by all but those for whom the data is intended.,information technology
What is Ethernet?,"A popular network technology that enables data to travel at 10 megabits per second. Campus microcomputers connected to a network have Ethernet cards installed that are attached to Ethernet cabling. An Ethernet connection is often referred to as a ""direct connection"" and is capable of providing data transmission speeds over 500 Kbps.",information technology
What is an extension?,"A suffix preceded by a period at the end of a filename; used to describe the file type. Example: On a Windows computer, the extension "".exe"" represents an executable file.",information technology
What is a firewall?,A method of preventing unauthorised access to or from a particular network; firewalls can be implemented in both hardware and software.,information technology
What is flash memory or a flash drive?,A type of memory that retains information even after power is turned off; commonly used in memory cards and USB flash drives for storage and transfer of data between computers and other digital products.,information technology
What is a folder?,"An area on a hard disk that contains a related set of files or alternatively, the icon that represents a directory or subdirectory.",information technology
What is FTP (File Transfer Protocol)?,A method of exchanging files between computers via the Internet. A program like WS_FTP for IBM PC or compatibles or Fetch for Macintosh is required. Files can contain documents or programs and can be ASCII text or binary data.,information technology
